compound,target_class,ecfp4_max_tanimoto,ecfp4_top5_mean,maccs_max_tanimoto,best_ref_molecule,best_ref_pchembl,best_ref_ic50_nm,best_ref_target,best_ref_organism,n_references,ecfp4_2nd_tanimoto,n_refs_above_0.4,n_refs_above_0.5
T2Z5,LpxC,0.24489795918367346,0.2183662402760147,0.5666666666666667,CHEMBL2023522,8.96,1.1,CHEMBL3855,P. aeruginosa,600,0.21428571428571427,0,0
T2Z6,LpxC,0.22,0.19826012601260126,0.5666666666666667,CHEMBL2023522,8.96,1.1,CHEMBL3855,P. aeruginosa,600,0.2,0,0
T2Z9,LpxC,0.19607843137254902,0.1891179399317606,0.5833333333333334,CHEMBL2023138,8.07,8.5,CHEMBL3855,P. aeruginosa,600,0.19607843137254902,0,0
X1V11,LpxC,0.21428571428571427,0.20426744678597902,0.5681818181818182,CHEMBL3647221,9.19,0.651,CHEMBL3855,P. aeruginosa,600,0.2125,0,0
X1V19,LpxC,0.20270270270270271,0.1971384083476293,0.5316455696202531,CHEMBL1956131,9.19,0.64,CHEMBL3855,P. aeruginosa,600,0.20253164556962025,0,0
X1V20,LpxC,0.1951219512195122,0.18609521803229828,0.5569620253164557,CHEMBL3647151,8.15,7.11,CHEMBL3855,P. aeruginosa,600,0.19480519480519481,0,0
X1V26,LpxC,0.1744186046511628,0.16892420412008494,0.5581395348837209,CHEMBL2023515,9.0,1.0,CHEMBL3855,P. aeruginosa,600,0.1724137931034483,0,0
X1V9,LpxC,0.17857142857142858,0.1678925424023463,0.5512820512820513,CHEMBL3647221,9.19,0.651,CHEMBL3855,P. aeruginosa,600,0.17647058823529413,0,0
BI-1,LpxH,0.18421052631578946,0.170845743420252,0.625,CHEMBL5091645,6.91,123.0,CHEMBL5855,E. coli,252,0.17105263157894737,0,0
BI-6,LpxH,0.2,0.18361552028218694,0.640625,CHEMBL5653589,9.12,0.753,CHEMBL5855,E. coli,252,0.2,0,0
OX-11,LpxH,0.1553398058252427,0.1511066327826675,0.6923076923076923,CHEMBL3745885,6.2,630.0,CHEMBL5855,E. coli,252,0.15454545454545454,0,0
T2Z14,LpxH,0.15789473684210525,0.14364357562972643,0.7037037037037037,CHEMBL4549667,6.0,1000.0,CHEMBL5855,E. coli,252,0.1504424778761062,0,0
T2Z5,LpxH,0.16037735849056603,0.14915708277184195,0.6707317073170732,CHEMBL3672326,7.35,45.0,CHEMBL5855,E. coli,252,0.1485148514851485,0,0
T2Z6,LpxH,0.1568627450980392,0.15342118582718806,0.6506024096385542,CHEMBL3672293,7.24,58.0,CHEMBL5855,E. coli,252,0.1553398058252427,0,0
T2Z9,LpxH,0.16071428571428573,0.14368420722024564,0.6829268292682927,CHEMBL4088216,6.0,1000.0,CHEMBL5855,E. coli,252,0.14782608695652175,0,0
X1V11,LpxH,0.16883116883116883,0.1598811096701392,0.7361111111111112,CHEMBL3667203,8.74,1.8,CHEMBL5855,E. coli,252,0.16049382716049382,0,0
X1V19,LpxH,0.16883116883116883,0.14412603067208832,0.6857142857142857,CHEMBL3667203,8.74,1.8,CHEMBL5855,E. coli,252,0.1518987341772152,0,0
X1V20,LpxH,0.17721518987341772,0.17056981595860438,0.7246376811594203,CHEMBL5087398,7.94,11.5,CHEMBL5855,E. coli,252,0.17346938775510204,0,0
X1V26,LpxH,0.21621621621621623,0.18258662904163328,0.7297297297297297,CHEMBL3667203,8.74,1.8,CHEMBL5855,E. coli,252,0.17857142857142858,0,0
X1V9,LpxH,0.17567567567567569,0.1572596934374476,0.7101449275362319,CHEMBL3667203,8.74,1.8,CHEMBL5855,E. coli,252,0.15789473684210525,0,0
BI-1,MurA,0.19318181818181818,0.18415574991046688,0.5616438356164384,CHEMBL5220749,4.77,17000.0,CHEMBL1984,E. coli,94,0.18681318681318682,0,0
BI-6,MurA,0.1956521739130435,0.18877640306244092,0.5753424657534246,CHEMBL5219288,4.82,15000.0,CHEMBL1984,E. coli,94,0.19148936170212766,0,0
OX-11,MurA,0.15306122448979592,0.14220860446075753,0.6097560975609756,CHEMBL5219585,4.96,11000.0,CHEMBL1984,E. coli,94,0.14457831325301204,0,0
T2Z14,MurA,0.18584070796460178,0.15141480973799573,0.6075949367088608,CHEMBL5220784,4.68,21000.0,CHEMBL1984,E. coli,94,0.1485148514851485,0,0
T2Z5,MurA,0.17757009345794392,0.15174776422232142,0.5833333333333334,CHEMBL5220784,4.68,21000.0,CHEMBL1984,E. coli,94,0.15476190476190477,0,0
T2Z6,MurA,0.18518518518518517,0.17842666395717524,0.5949367088607594,CHEMBL5219036,4.8,16000.0,CHEMBL1984,E. coli,94,0.18018018018018017,0,0
T2Z9,MurA,0.20833333333333334,0.20392094712863504,0.6282051282051282,CHEMBL365523,4.301029995663981,50000.0,CHEMBL1984,E. coli,94,0.20689655172413793,0,0
X1V11,MurA,0.2413793103448276,0.21182720424605145,0.45348837209302323,CHEMBL5219614,4.66,22000.0,CHEMBL1984,E. coli,94,0.21052631578947367,0,0
X1V19,MurA,0.18571428571428572,0.16136544306757072,0.46774193548387094,CHEMBL5171747,3.82,151000.0,CHEMBL1984,E. coli,94,0.1595744680851064,0,0
X1V20,MurA,0.17333333333333334,0.1684694835680751,0.5081967213114754,CHEMBL5172087,3.85,142000.0,CHEMBL1984,E. coli,94,0.16901408450704225,0,0
X1V26,MurA,0.2441860465116279,0.2135584044232402,0.4782608695652174,CHEMBL5220418,5.29,5100.0,CHEMBL1984,E. coli,94,0.23863636363636365,0,0
